service_date,trip_id,stop_id,route_id,route_short_name,stop_sequence,stops_ahead,arrival_delay_s,departure_delay_s,schedule_relationship,observed_at_utc
2026-09-15,103E.812.149.8.T.8.91117758,206451,NSN_2k,T1,-1,1,0,0,SCHEDULED,2026-09-14T22:13:21.082609+00:00
2026-09-15,103E.812.149.8.T.8.91117758,2065152,NSN_2k,T1,-1,2,0,0,SCHEDULED,2026-09-14T22:13:21.082609+00:00
2026-09-15,148D.812.149.8.A.8.91116044,2000336,NSN_1a,T1,-1,0,150,120,SCHEDULED,2026-09-14T22:13:21.082609+00:00
2026-09-15,148D.812.149.8.A.8.91116044,2000393,NSN_1a,T1,-1,1,120,90,SCHEDULED,2026-09-14T22:13:21.082609+00:00
2026-09-15,148D.812.149.8.A.8.91116044,2000404,NSN_1a,T1,-1,2,90,60,SCHEDULED,2026-09-14T22:13:21.082609+00:00
2026-09-15,138E.812.149.12.A.8.91118286,2767124,WST_1a,T1,-1,0,0,0,SCHEDULED,2026-09-14T22:13:21.082609+00:00
2026-09-15,138E.812.149.12.A.8.91118286,2766144,WST_1a,T1,-1,1,0,0,SCHEDULED,2026-09-14T22:13:21.082609+00:00
2026-09-15,138E.812.149.12.A.8.91118286,2770594,WST_1a,T1,-1,2,0,0,SCHEDULED,2026-09-14T22:13:21.082609+00:00
2026-09-15,163B.812.149.8.A.8.91118323,2747371,WST_2c,T1,-1,0,0,0,SCHEDULED,2026-09-14T22:13:21.082609+00:00
2026-09-15,163B.812.149.8.A.8.91118323,2760302,WST_2c,T1,-1,1,0,0,SCHEDULED,2026-09-14T22:13:21.082609+00:00
2026-09-15,163B.812.149.8.A.8.91118323,2770592,WST_2c,T1,-1,2,0,0,SCHEDULED,2026-09-14T22:13:21.082609+00:00
2026-09-15,608B.812.149.120.T.8.91119132,2000361,ESI_1a,T4,-1,0,8,8,SCHEDULED,2026-09-14T22:13:21.082609+00:00
2026-09-15,608B.812.149.120.T.8.91119132,2000394,ESI_1a,T4,-1,1,8,0,SCHEDULED,2026-09-14T22:13:21.082609+00:00
2026-09-15,608B.812.149.120.T.8.91119132,2000345,ESI_1a,T4,-1,2,0,0,SCHEDULED,2026-09-14T22:13:21.082609+00:00
2026-09-15,198A.812.149.8.B.8.91119365,2135234,WST_2c,T1,-1,0,0,0,SCHEDULED,2026-09-14T22:13:21.082609+00:00
2026-09-15,198A.812.149.8.B.8.91119365,2015133,WST_2c,T1,-1,1,0,0,SCHEDULED,2026-09-14T22:13:21.082609+00:00
2026-09-15,198A.812.149.8.B.8.91119365,2000336,WST_2c,T1,-1,2,0,0,SCHEDULED,2026-09-14T22:13:21.082609+00:00
2026-09-15,153D.812.149.8.A.8.91114379,2067141,NSN_2k,T1,-1,0,0,0,SCHEDULED,2026-09-14T22:13:21.082609+00:00
2026-09-15,153D.812.149.8.A.8.91114379,206451,NSN_2k,T1,-1,1,0,0,SCHEDULED,2026-09-14T22:13:21.082609+00:00
2026-09-15,153D.812.149.8.A.8.91114379,2065152,NSN_2k,T1,-1,2,0,0,SCHEDULED,2026-09-14T22:13:21.082609+00:00
2026-09-15,701D.812.149.56.T.8.91116987,2000404,NSN_1a,T1,-1,0,167,137,SCHEDULED,2026-09-14T22:13:21.082609+00:00
2026-09-15,701D.812.149.56.T.8.91116987,206142,NSN_1a,T1,-1,1,137,137,SCHEDULED,2026-09-14T22:13:21.082609+00:00
2026-09-15,701D.812.149.56.T.8.91116987,2060104,NSN_1a,T1,-1,2,137,107,SCHEDULED,2026-09-14T22:13:21.082609+00:00
2026-09-15,615U.812.148.4.T.8.91117327,2220363,ESI_2d,T4,-1,0,0,0,SCHEDULED,2026-09-14T22:13:21.082609+00:00
2026-09-15,172F.812.149.12.A.8.91119848,2765292,WST_1b,T1,-1,0,40,0,SCHEDULED,2026-09-14T22:13:21.082609+00:00
2026-09-15,172F.812.149.12.A.8.91119848,2765301,WST_1b,T1,-1,1,0,0,SCHEDULED,2026-09-14T22:13:21.082609+00:00
2026-09-15,172F.812.149.12.A.8.91119848,2756442,WST_1b,T1,-1,2,0,0,SCHEDULED,2026-09-14T22:13:21.082609+00:00
2026-09-15,620C.812.149.56.T.8.91117256,2229221,ESI_2d,T4,-1,0,22,22,SCHEDULED,2026-09-14T22:13:21.082609+00:00
2026-09-15,620C.812.149.56.T.8.91117256,2228131,ESI_2d,T4,-1,1,22,22,SCHEDULED,2026-09-14T22:13:21.082609+00:00
